subdivisions,segment_start,segment_stop,kind,interface,entity,left_fraction,event_fraction,right_fraction,selected_fraction,selected_branch
5,0.0,0.2,pair_entry,0,0:0,0.19999999990686776,0.19999999995343387,0.2,0.2,right
5,0.2,0.4,support_activation,0,0,0.39999999990686774,0.3999999999534339,0.4,0.4,right
5,0.4,0.6000000000000001,clipping_vertex_edge,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
5,0.4,0.6000000000000001,pallet_transition,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
5,0.4,0.6000000000000001,pressure_activation,0,0,0.5999999999208376,0.5999999999604189,0.6000000000000001,0.6000000000000001,right
5,0.8,1.0,pair_exit,0,0:0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
5,0.8,1.0,support_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
5,0.8,1.0,pressure_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
10,0.1,0.2,pair_entry,0,0:0,0.19999999990686776,0.19999999995343387,0.2,0.2,right
10,0.30000000000000004,0.4,support_activation,0,0,0.39999999990686774,0.3999999999534339,0.4,0.4,right
10,0.5,0.6000000000000001,clipping_vertex_edge,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
10,0.5,0.6000000000000001,pallet_transition,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
10,0.5,0.6000000000000001,pressure_activation,0,0,0.5999999999208376,0.5999999999604189,0.6000000000000001,0.6000000000000001,right
10,0.8,0.9,pair_exit,0,0:0,0.8499999999068678,0.84999999953434,0.8500000000000001,0.8500000000000001,right
10,0.8,0.9,support_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
10,0.8,0.9,pressure_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
20,0.15000000000000002,0.2,pair_entry,0,0:0,0.19999999990686776,0.19999999995343387,0.2,0.2,right
20,0.35000000000000003,0.4,support_activation,0,0,0.39999999990686774,0.3999999999534339,0.4,0.4,right
20,0.5,0.55,clipping_vertex_edge,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
20,0.5,0.55,pallet_transition,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
20,0.55,0.6000000000000001,pressure_activation,0,0,0.59999999999068678,0.599999999953434,0.6000000000000001,0.6000000000000001,right
20,0.8,0.8500000000000001,pair_exit,0,0:0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
20,0.8,0.8500000000000001,support_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
20,0.8,0.8500000000000001,pressure_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
40,0.17500000000000002,0.2,pair_entry,0,0:0,0.19999999990686776,0.19999999995343387,0.2,0.2,right
40,0.375,0.4,support_activation,0,0,0.39999999990686774,0.3999999999534339,0.4,0.4,right
40,0.5,0.525,clipping_vertex_edge,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
40,0.5,0.525,pallet_transition,0,0:0,0.5149999999441212,0.5149999999906874,0.5150000000372534,0.5150000000372534,right
40,0.5750000000000001,0.6000000000000001,pressure_activation,0,0,0.5999999999068678,0.599999999953434,0.6000000000000001,0.6000000000000001,right
40,0.8250000000000001,0.8500000000000001,pair_exit,0,0:0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
40,0.8250000000000001,0.8500000000000001,support_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
40,0.8250000000000001,0.8500000000000001,pressure_release,0,0,0.8499999999068678,0.849999999953434,0.8500000000000001,0.8500000000000001,right
