load_factor,iterations,residual_norm,minimum_jacobian,minimum_accepted_step,top_mean_x,top_mean_z
0.0,0,0.0,1.0,1.0,0.0,0.0
0.1,4,1.0136979119217374e-13,0.9653131880900653,1.0,0.023931973830580627,-0.028941540015553196
0.2,4,4.098142466812372e-14,0.9327704776529655,1.0,0.048137681828911344,-0.05585032465823775
0.30000000000000004,4,8.186483332749042e-14,0.9024980508154534,1.0,0.07310948404172148,-0.0808716699533313
0.4,4,6.613850459088461e-14,0.8746514332448657,1.0,0.09948008862936045,-0.10415830440821897
0.5,4,8.720512107315293e-14,0.8494434290069454,1.0,0.12806823780132248,-0.12587593734147418
0.6000000000000001,4,4.680096741704574e-14,0.8271821690540399,1.0,0.15993175410287785,-0.14621530140408265
0.7000000000000001,4,6.958088869182796e-14,0.8083203111518372,1.0,0.1964111846459372,-0.1654138360548354
0.8,4,3.628599720105373e-14,0.7935112085642023,1.0,0.239120246216033,-0.18378947889661648
0.9,4,1.1003661235863334e-13,0.7836602981735471,1.0,0.2898029376252146,-0.20178350261647568
1.0,4,4.59790455533753e-13,0.7799999999999984,1.0,0.34999999999999915,-0.21999999999999967
