step,relative_error,observed_order
0.01,0.00012389171135735876,
0.003,1.1148460892286276e-05,2.0001335811662813
0.001,1.23870043419464e-06,2.000012817418363
0.0003,1.1148265226555335e-07,2.0000028818752393
0.0001,1.2386505107713988e-08,2.000033527912851
3e-05,1.118485543505363e-09,1.9972477755395366
1e-05,1.2471740137063097e-10,1.9967740118636377
3e-06,5.0147655918633106e-11,0.756726907484591
1e-06,8.9531717415682e-11,-0.5275939301794058
