subdivisions,slave_facets,master_facets,accepted_pairs,tree_nodes,node_visits,facet_tests,quadratic_tests,tested_fraction,build_seconds,refit_seconds,query_seconds,refit_to_build_ratio,pair_sets_equal
8,64,64,484,15,552,1120,4096,0.2734375,0.0005415609999772641,0.000434591000043838,0.006507495000050767,0.8024783912838683,True
16,256,256,2116,63,3752,5280,65536,0.08056640625,0.0023449020000043674,0.001865071999986867,0.03726206400006049,0.7953731115344663,True
24,576,576,4900,255,12872,10599,331776,0.03194625289351852,0.006474921999938488,0.004497338000078344,0.09133662799990816,0.6945779424247996,True
32,1024,1024,20116,255,26824,40800,1048576,0.038909912109375,0.010983033999991676,0.008354746000009072,0.28474431999995886,0.7606956329203209,True
