augmentation,newton_iterations,contact_event_restarts,equilibrium_residual,maximum_penetration,maximum_complementarity,maximum_projection_residual,maximum_multiplier_increment,active_rows,maximum_pressure
0,5,1,1.3172949433801525e-13,0.003853384407412543,0.0,24.661660207440274,24.661660207440274,4,24.661660207440274
1,4,1,6.744805657353365e-14,0.0005970084487813555,0.0147232195048168,3.8208540722006745,3.8208540722006745,2,28.48251427964095
2,2,0,5.907868683201307e-13,2.2400223483931562e-05,0.0006380146852482263,0.14336143029716197,0.14336143029716197,2,28.625875709938068
3,2,0,1.254822673083521e-13,8.406587887963003e-07,2.406459400254997e-05,0.0053802162482980975,0.0053802162482980975,2,28.631255926186366
4,1,0,3.1254952021729554e-11,3.154936480120885e-08,9.032979379320223e-07,0.0002019159347277366,0.0002019159347277366,2,28.63145784212096
5,1,0,1.190327951665199e-13,1.1840367922233421e-09,3.3900699500062597e-08,7.577835472005745e-06,0.0,2,28.6314654199563
