node,normal_gap,pressure,multiplier,active
0,1.1840367575288726e-09,28.631465419956207,28.63145784212096,True
1,-0.0032285101097419833,0.0,0.0,False
2,1.1840367922233421e-09,28.6314654199563,28.631457842120827,True
3,-0.003228510109741997,0.0,0.0,False
